S6 Anteil;S4 Anteil;M100 Anteil;Penetration;Erweichungspunkt;;
0.918692077;0;0.081307923;87;46.4;32.2944;40.32655983
0.918692077;0;0.081307923;113;43.8;39.5952;41.58865598
0.920620126;0;0.079379874;99;45.4;35.9568;42.0589674
0.920497834;0;0.079502166;85;46.6;31.688;40.08321909
0.917890184;0;0.082109816;86;46.6;32.0608;40.55478637
0.918645291;0;0.081354709;86;46.2;31.7856;39.18017338
0.918645291;0;0.081354709;84;46.4;31.1808;38.9359888
0.917361226;0;0.082638774;84;46.4;31.1808;38.9359888
0.919856741;0;0.080143259;90;46.8;33.696;43.17436132
0.920024087;0;0.079975913;87;46.4;32.2944;40.32655983
0.91723255;0;0.08276745;86;46.4;31.9232;39.86303615
0.917433931;0;0.082566069;100;44.8;35.84;40.28209562
0.917421875;0;0.082578125;79;47;29.704;38.5494799
0.917421875;0;0.082578125;78;47;29.328;38.0615118
0.920025142;0;0.079974858;80;46.8;29.952;38.37721006
0.914529247;0;0.085470753;104;44.6;37.1072;41.15027806
0.921150462;0;0.078849538;194;39.4;61.1488;46.75053845
0.911385938;0;0.088614062;224;38.6;69.1712;49.72756996
0.911385938;0;0.088614062;181;40.8;59.0784;50.15557657
0.902919502;0;0.097080498;181;40;57.92;46.336
0.914977161;0;0.085022839;165;40.8;53.856;45.72193444
0.914977161;0;0.085022839;266;38.4;81.7152;57.83710335
0.914977161;0;0.085022839;215;38.8;66.736;48.72651626
0.85434509;0;0.14565491;193;39.8;61.4512;48.42722653
0.848656574;0;0.151343426;177;40.4;57.2064;47.1518489
0.848659058;0;0.151340942;160;41.4;52.992;47.00254211
0.834216797;0;0.165783203;151;41.6;50.2528;45.2220525
0.70295939;0;0.29704061;223;39.2;69.9328;52.65615352
0.696880297;0;0.303119703;275;36.4;80.08;48.27677254
1;0;0;179;40.2;57.5664;46.74737654
1;0;0;186;38.4;57.1392;40.4424858
1;0;0;178;40;56.96;45.568
1;0;0;180;39.4;56.736;43.37678825
1;0;0;192;39.4;60.5184;46.26857414
1;0;0;187;39;58.344;43.2613467
1;0;0;199;38.8;61.7696;45.10035691
1;0;0;212;38.4;65.1264;46.0957365
1;0;0;209;38.2;63.8704;44.50407079
1;0;0;188;39.2;58.9568;44.3917348
1;0;0;189;39.2;59.2704;44.62786105
1;0;0;191;38.8;59.2864;43.28727724
1;0;0;187;39;58.344;43.2613467
1;0;0;191;39;59.592;44.1867231
1;0;0;194;40;62.08;49.664
1;0;0;192;39.2;60.2112;45.3362398
1;0;0;198;38.8;61.4592;44.87372195
