ges;S6;S4;S17;IFOMK;TR;Dichte;Pene;R+K
102.89888;0.749649948;0;0.250350052;0;0;1032.59229;178;39.8
103.24634;0.751599137;0;0.248400863;0;0;1032.59229;170;40
100.87972;0.703777826;0;0.296222174;0;0;1034.8468;161;41.2
101.42432;0.706509346;0;0.293490654;0;0;1034.90222;155;41.2
101.19362;0.70584025;0;0.29415975;0;0;1032.69592;179;39.8
98.71598;0.686911582;0;0.313088418;0;0;1031.86035;207;39.2
104.39846;0.705890393;0;0.294109607;0;0;1032.98547;209;39.4
102.27197;0.699775119;0;0.300224881;0;0;1034.177;162;41.2
105.24475;0.790235047;0;0.209764953;0;0;1033.1748;163;41
103.60423;0.786913527;0;0.213086473;0;0;1033.1748;168;40.4
105.26294;0.790271296;0;0.209728704;0;0;1032.10046;173;40.4
105.23561;0.790216829;0;0.209783171;0;0;1030.12109;204;39.2
107.84083;0.813337119;0;0.186662881;0;0;1030.12109;204;39.6
105.31161;0.794721968;0;0.205278032;0;0;1031.13635;200;40.4
104.83338;0.793785529;0;0.206214471;0;0;1031.13635;200;40
104.89877;0.793914075;0;0.206085925;0;0;1031.09814;200;39
102.61058;0.804036679;0;0.195963321;0;0;1031.09814;191;39.4
103.04044;0.804854191;0;0.195145809;0;0;1031.6239;189;40
105.02675;0.719407389;0;0.280592611;0;0;1032.85693;200;39.4
105.04994;0.71946933;0;0.28053067;0;0;1032.91272;195;39.4
104.9754;0.719270134;0;0.280729866;0;0;1032.78711;200;39.6
90.046;0.785070742;0;0.214929258;0;0;1032.52307;205;39.6
90.13125;0.785274031;0;0.214725969;0;0;1030.72705;213;40
89.96133;0.784868454;0;0.215131546;0;0;1032.31531;197;39.6
90.16934;0.785364737;0;0.214635263;0;0;1032.31531;195;40
94.91336;0.796092773;0;0.203907227;0;0;1032.6615;176;40.8
100.40693;0.796774286;0;0.203225714;0;0;1032.43884;190;40.6
97.31876;0.790754835;0;0.209245165;0;0;1036.00891;165;41.4
